tipo_req,tempo_segundos,tamanho_bytes
get_reviews,0.33728456497192383,2
get_reviews,0.3673741817474365,2
get_reviews,0.34644174575805664,2
get_reviews,0.33910059928894043,2
get_reviews,0.3602876663208008,2
get_reviews,0.3500092029571533,2
get_reviews,0.4473855495452881,1605
get_reviews,0.5798606872558594,2
get_reviews,0.354262113571167,2
get_reviews,0.33837008476257324,2
get_reviews,0.36746883392333984,2
get_reviews,0.34250569343566895,2
get_reviews,0.3545355796813965,2
get_reviews,0.3440215587615967,2
get_reviews,0.3260984420776367,2
get_reviews,0.34288454055786133,2
get_reviews,0.5006113052368164,1769
get_reviews,0.4253668785095215,3283
get_reviews,0.38089418411254883,2
get_reviews,0.35609912872314453,2
get_reviews,0.37703919410705566,2
get_reviews,0.35286879539489746,2
get_reviews,0.33875536918640137,2
get_reviews,0.3728349208831787,2
get_reviews,0.34740233421325684,2
get_reviews,0.3658897876739502,2
get_reviews,0.43871617317199707,1605
get_reviews,0.3579277992248535,2
get_reviews,0.33542323112487793,2
get_reviews,0.35185813903808594,2
get_reviews,0.3214302062988281,2
get_reviews,0.3533666133880615,2
get_reviews,0.43063879013061523,1635
get_reviews,0.34981870651245117,2
get_reviews,0.3388357162475586,2
get_reviews,0.36569666862487793,2
get_reviews,0.36508703231811523,2
get_reviews,0.3594329357147217,2
get_reviews,0.35578393936157227,2
get_prs,1.2902145385742188,2148039
get_reviews,0.3459961414337158,2
get_reviews,0.362506628036499,2
get_reviews,0.4606454372406006,2
get_reviews,0.355226993560791,2
get_reviews,0.3714470863342285,2
get_reviews,0.3434183597564697,2
get_reviews,0.3722498416900635,2
get_reviews,0.34616732597351074,2
get_prs,0.9137005805969238,1886351
get_reviews,0.33416748046875,2
get_reviews,0.3696126937866211,2
get_reviews,0.3324558734893799,2
get_reviews,0.3364095687866211,2
get_reviews,0.34664392471313477,2
get_reviews,0.34926819801330566,2
get_reviews,0.33831024169921875,2
get_reviews,0.3321561813354492,2
get_reviews,0.33011603355407715,2
get_reviews,0.33174705505371094,2
get_reviews,0.4270007610321045,2
get_reviews,0.3200039863586426,2
get_reviews,0.3403196334838867,2
get_reviews,0.34189701080322266,2
get_reviews,0.34867262840270996,2
get_reviews,0.36016392707824707,2
get_reviews,0.32970547676086426,2
get_reviews,0.33676695823669434,2
get_reviews,0.32509565353393555,2
get_reviews,0.31462574005126953,2
get_reviews,0.34160709381103516,2
get_reviews,0.327608585357666,2
get_reviews,0.3513185977935791,2
get_reviews,0.3477210998535156,2
get_reviews,0.359210729598999,2
get_reviews,0.3360283374786377,2
get_reviews,0.3656744956970215,2
get_reviews,0.34099602699279785,2
get_reviews,0.3577907085418701,2
get_reviews,0.33463191986083984,2
get_reviews,0.3595705032348633,2
get_reviews,0.3173832893371582,2
get_reviews,0.33150410652160645,2
get_reviews,0.3224623203277588,2
get_reviews,0.3268101215362549,2
get_reviews,0.34953951835632324,2
get_reviews,0.3415553569793701,2
get_reviews,0.33893394470214844,2
get_reviews,0.3512539863586426,2
get_prs,1.5984406471252441,1771755
get_reviews,0.3423323631286621,2
get_reviews,0.39361143112182617,1831
get_reviews,0.39867615699768066,1638
get_reviews,0.4542689323425293,1831
get_reviews,0.4470694065093994,1638
get_reviews,0.3372464179992676,2
get_reviews,0.6577126979827881,1613
get_reviews,0.3482229709625244,2
get_reviews,0.430539608001709,1626
get_reviews,0.3855128288269043,1838
get_reviews,0.3599085807800293,2
get_reviews,0.4453747272491455,1638
get_reviews,0.3845791816711426,1638
get_reviews,0.43744349479675293,1638
get_reviews,0.4083282947540283,1664
get_reviews,0.4209284782409668,1663
get_reviews,0.3315145969390869,2
get_reviews,0.4614560604095459,1832
get_reviews,0.4366340637207031,1731
get_reviews,0.3584771156311035,2
get_reviews,0.45032572746276855,1677
get_reviews,0.3517735004425049,2
get_reviews,0.47702765464782715,1701
get_prs,1.528057336807251,1642467
get_reviews,0.3865494728088379,2
get_reviews,0.3563392162322998,2
get_reviews,0.43909263610839844,1731
get_reviews,0.5822525024414062,2
get_reviews,0.35443711280822754,2
get_reviews,0.3517017364501953,2
get_reviews,0.4304165840148926,1662
get_reviews,0.35691094398498535,2
get_reviews,0.3458700180053711,2
get_reviews,0.37158823013305664,2
get_reviews,0.3241724967956543,2
get_reviews,0.33788323402404785,2
get_reviews,0.33956170082092285,2
get_reviews,0.3312826156616211,2
get_reviews,0.3546864986419678,2
get_reviews,0.4471275806427002,1550
get_reviews,0.3565030097961426,2
get_reviews,0.34192395210266113,2
get_reviews,0.3741421699523926,2
get_reviews,0.3683888912200928,2
get_reviews,0.602304220199585,2
get_reviews,0.3355863094329834,2
get_reviews,0.31375575065612793,2
get_reviews,0.3454451560974121,2
get_reviews,0.3642449378967285,2
get_reviews,0.32878732681274414,2
get_reviews,0.3465125560760498,2
get_reviews,0.3245079517364502,2
get_reviews,0.35147690773010254,2
get_reviews,0.33320188522338867,2
get_reviews,0.3479607105255127,2
get_reviews,0.332338809967041,2
get_reviews,0.3896934986114502,2
get_reviews,0.3373894691467285,2
get_reviews,0.38034963607788086,2
get_reviews,0.35701823234558105,2
get_reviews,0.3460414409637451,2
get_prs,1.6215009689331055,1654024
get_reviews,0.3328979015350342,2
get_reviews,0.3382577896118164,2
get_reviews,0.34946560859680176,2
get_reviews,0.3251030445098877,2
get_reviews,0.34829282760620117,2
get_reviews,0.44022536277770996,1580
get_reviews,0.3400602340698242,2
get_reviews,0.3144974708557129,2
get_reviews,0.4073066711425781,1629
get_reviews,0.40709567070007324,1629
get_reviews,0.35694074630737305,2
get_reviews,0.33528614044189453,2
get_reviews,0.36328721046447754,2
get_reviews,0.3409895896911621,2
get_reviews,0.6147041320800781,2
get_reviews,0.35832667350769043,2
get_reviews,0.44574975967407227,1522
get_reviews,0.37298154830932617,2
get_reviews,0.32570695877075195,2
get_reviews,0.34172821044921875,2
get_reviews,0.42824244499206543,1532
get_reviews,0.4289259910583496,1629
get_reviews,0.4191906452178955,1629
get_reviews,0.35141587257385254,2
get_reviews,0.4192483425140381,1646
get_reviews,0.4203624725341797,1629
get_reviews,0.5905845165252686,2
get_reviews,0.3521873950958252,2
get_reviews,0.35955166816711426,2
get_reviews,0.41371750831604004,1629
get_reviews,0.3665764331817627,2
get_reviews,0.4386410713195801,1629
get_reviews,0.35936594009399414,2
get_reviews,0.32729387283325195,2
get_reviews,0.32660722732543945,2
get_reviews,0.3362257480621338,2
get_reviews,0.3600633144378662,2
get_reviews,0.3986930847167969,2651
get_reviews,0.39852428436279297,1629
get_reviews,0.43979620933532715,4807
get_reviews,0.38710927963256836,1629
get_reviews,0.33307456970214844,2
get_reviews,0.43906712532043457,1763
get_reviews,0.3296327590942383,2
get_reviews,0.3485867977142334,2
get_reviews,0.4312012195587158,1603
get_reviews,0.31325221061706543,2
get_reviews,0.46284961700439453,1629
get_reviews,0.34424614906311035,2
get_reviews,0.39314985275268555,1629
get_reviews,0.3503000736236572,2
get_reviews,0.3291494846343994,2
get_reviews,0.3868405818939209,2
get_reviews,0.3843979835510254,2
get_reviews,0.33849358558654785,2
get_reviews,0.35251379013061523,2
get_reviews,0.3943350315093994,1516
get_reviews,0.41446542739868164,1623
get_reviews,0.4022548198699951,1516
get_reviews,0.3256797790527344,2
get_reviews,0.40757012367248535,1867
get_reviews,0.35122203826904297,2
get_reviews,0.31356191635131836,2
get_reviews,0.4095163345336914,1623
get_reviews,0.3426544666290283,2
get_reviews,0.3400545120239258,2
